2026/03/31 10:57:22:025 [CDevice] CAM_SerialWrite OK
2026/03/31 10:57:22:790 [CDevice] CAM_SerialWrite OK
2026/03/31 10:57:27:799 [CDevice] CAM_SerialWrite OK
2026/03/31 10:57:37:647 [CDevice] CAM_SerialWrite OK
2026/03/31 10:57:42:681 [CDevice] CAM_SerialWrite OK
2026/03/31 10:57:53:318 [CDevice] CAM_SerialWrite OK
2026/03/31 10:57:58:340 [CDevice] CAM_SerialWrite OK
2026/03/31 10:58:04:799 [CDevice] CAM_SerialWrite OK
2026/03/31 10:58:09:807 [CDevice] CAM_SerialWrite OK
2026/03/31 10:58:22:674 [CDevice] CAM_SerialWrite OK
2026/03/31 10:58:25:789 [CDevice] CAM_SerialWrite OK
2026/03/31 10:58:27:696 [CDevice] CAM_SerialWrite OK
2026/03/31 10:58:30:815 [CDevice] CAM_SerialWrite OK
2026/03/31 11:00:07:671 [CDevice] CAM_SerialWrite OK
2026/03/31 11:00:12:685 [CDevice] CAM_SerialWrite OK
2026/03/31 11:01:38:025 [CDevice] CAM_SerialWrite OK
2026/03/31 11:01:43:053 [CDevice] CAM_SerialWrite OK
2026/03/31 11:02:04:743 [CDevice] CAM_SerialWrite OK
2026/03/31 11:02:09:773 [CDevice] CAM_SerialWrite OK
2026/03/31 11:02:11:429 [CDevice] CAM_SerialWrite OK
2026/03/31 11:02:16:478 [CDevice] CAM_SerialWrite OK
2026/03/31 11:02:16:716 [CDevice] CAM_SerialWrite OK
2026/03/31 11:02:21:762 [CDevice] CAM_SerialWrite OK
2026/03/31 11:02:25:883 [CDevice] CAM_SerialWrite OK
2026/03/31 11:02:30:901 [CDevice] CAM_SerialWrite OK
2026/03/31 11:02:38:289 [CDevice] CAM_SerialWrite OK
2026/03/31 11:02:43:331 [CDevice] CAM_SerialWrite OK
2026/03/31 11:02:56:035 [CDevice] CAM_SerialWrite OK
2026/03/31 11:03:01:080 [CDevice] CAM_SerialWrite OK
2026/03/31 11:03:23:134 [CDevice] CAM_SerialWrite OK
2026/03/31 11:03:28:183 [CDevice] CAM_SerialWrite OK
2026/03/31 11:05:01:872 [CDevice] CAM_SerialWrite OK
2026/03/31 11:05:06:923 [CDevice] CAM_SerialWrite OK
2026/03/31 11:05:22:749 [CDevice] CAM_SerialWrite OK
2026/03/31 11:05:27:771 [CDevice] CAM_SerialWrite OK
2026/03/31 11:05:35:003 [CDevice] CAM_SerialWrite OK
2026/03/31 11:05:40:030 [CDevice] CAM_SerialWrite OK
2026/03/31 11:05:46:823 [CDevice] CAM_SerialWrite OK
2026/03/31 11:05:51:916 [CDevice] CAM_SerialWrite OK
2026/03/31 11:06:07:929 [CDevice] CAM_SerialWrite OK
2026/03/31 11:06:12:940 [CDevice] CAM_SerialWrite OK
2026/03/31 11:06:40:622 [CDevice] CAM_SerialWrite OK
2026/03/31 11:06:45:640 [CDevice] CAM_SerialWrite OK
2026/03/31 11:06:58:960 [CDevice] CAM_SerialWrite OK
2026/03/31 11:07:03:973 [CDevice] CAM_SerialWrite OK
2026/03/31 11:07:28:879 [CDevice] CAM_SerialWrite OK
2026/03/31 11:07:33:891 [CDevice] CAM_SerialWrite OK
2026/03/31 11:08:10:966 [CDevice] CAM_SerialWrite OK
2026/03/31 11:08:15:983 [CDevice] CAM_SerialWrite OK
2026/03/31 11:08:44:359 [CDevice] CAM_SerialWrite OK
2026/03/31 11:08:49:431 [CDevice] CAM_SerialWrite OK
2026/03/31 11:08:59:199 [CDevice] CAM_SerialWrite OK
2026/03/31 11:09:02:267 [CDevice] CAM_SerialWrite OK
2026/03/31 11:09:04:262 [CDevice] CAM_SerialWrite OK
2026/03/31 11:09:07:306 [CDevice] CAM_SerialWrite OK
2026/03/31 11:09:07:789 [CDevice] CAM_SerialWrite OK
2026/03/31 11:09:12:821 [CDevice] CAM_SerialWrite OK
2026/03/31 11:09:20:234 [CDevice] CAM_SerialWrite OK
2026/03/31 11:09:25:261 [CDevice] CAM_SerialWrite OK
2026/03/31 11:09:29:164 [CDevice] CAM_SerialWrite OK
2026/03/31 11:09:34:205 [CDevice] CAM_SerialWrite OK
2026/03/31 11:09:47:224 [CDevice] CAM_SerialWrite OK
2026/03/31 11:09:47:270 [CDevice] CAM_SerialWrite OK
2026/03/31 11:09:52:264 [CDevice] CAM_SerialWrite OK
2026/03/31 11:09:52:321 [CDevice] CAM_SerialWrite OK
2026/03/31 11:09:56:297 [CDevice] CAM_SerialWrite OK
2026/03/31 11:10:01:346 [CDevice] CAM_SerialWrite OK
2026/03/31 11:10:10:850 [CDevice] CAM_SerialWrite OK
2026/03/31 11:10:15:881 [CDevice] CAM_SerialWrite OK
2026/03/31 11:10:41:167 [CDevice] CAM_SerialWrite OK
2026/03/31 11:10:46:205 [CDevice] CAM_SerialWrite OK
2026/03/31 11:10:46:812 [CDevice] CAM_SerialWrite OK
2026/03/31 11:10:51:838 [CDevice] CAM_SerialWrite OK
2026/03/31 11:10:54:642 [CDevice] CAM_SerialWrite OK
2026/03/31 11:10:59:658 [CDevice] CAM_SerialWrite OK
2026/03/31 11:12:10:793 [CDevice] CAM_SerialWrite OK
2026/03/31 11:12:15:822 [CDevice] CAM_SerialWrite OK
2026/03/31 11:12:16:992 [CDevice] CAM_SerialWrite OK
2026/03/31 11:12:22:041 [CDevice] CAM_SerialWrite OK
2026/03/31 11:12:32:046 [CDevice] CAM_SerialWrite OK
2026/03/31 11:12:37:094 [CDevice] CAM_SerialWrite OK
2026/03/31 11:12:55:661 [CDevice] CAM_SerialWrite OK
2026/03/31 11:12:59:030 [CDevice] CAM_SerialWrite OK
2026/03/31 11:13:00:692 [CDevice] CAM_SerialWrite OK
2026/03/31 11:13:04:049 [CDevice] CAM_SerialWrite OK
2026/03/31 11:13:08:129 [CDevice] CAM_SerialWrite OK
2026/03/31 11:13:13:136 [CDevice] CAM_SerialWrite OK
2026/03/31 11:13:19:907 [CDevice] CAM_SerialWrite OK
2026/03/31 11:13:24:922 [CDevice] CAM_SerialWrite OK
2026/03/31 11:13:59:100 [CDevice] CAM_SerialWrite OK
2026/03/31 11:14:04:123 [CDevice] CAM_SerialWrite OK
2026/03/31 11:14:10:839 [CDevice] CAM_SerialWrite OK
2026/03/31 11:14:15:851 [CDevice] CAM_SerialWrite OK
2026/03/31 11:14:17:130 [CDevice] CAM_SerialWrite OK
2026/03/31 11:14:22:152 [CDevice] CAM_SerialWrite OK
2026/03/31 11:14:31:733 [CDevice] CAM_SerialWrite OK
2026/03/31 11:14:36:767 [CDevice] CAM_SerialWrite OK
2026/03/31 11:14:40:717 [CDevice] CAM_SerialWrite OK
2026/03/31 11:14:45:742 [CDevice] CAM_SerialWrite OK
2026/03/31 11:15:34:803 [CDevice] CAM_SerialWrite OK
2026/03/31 11:15:39:826 [CDevice] CAM_SerialWrite OK
2026/03/31 11:15:53:109 [CDevice] CAM_SerialWrite OK
2026/03/31 11:15:58:203 [CDevice] CAM_SerialWrite OK
2026/03/31 11:15:58:853 [CDevice] CAM_SerialWrite OK
2026/03/31 11:16:03:873 [CDevice] CAM_SerialWrite OK
2026/03/31 11:17:07:696 [CDevice] CAM_SerialWrite OK
2026/03/31 11:17:12:714 [CDevice] CAM_SerialWrite OK
2026/03/31 11:17:20:264 [CDevice] CAM_SerialWrite OK
2026/03/31 11:17:25:293 [CDevice] CAM_SerialWrite OK
2026/03/31 11:17:25:929 [CDevice] CAM_SerialWrite OK
2026/03/31 11:17:30:934 [CDevice] CAM_SerialWrite OK
2026/03/31 11:17:47:165 [CDevice] CAM_SerialWrite OK
2026/03/31 11:17:52:191 [CDevice] CAM_SerialWrite OK
2026/03/31 11:18:05:092 [CDevice] CAM_SerialWrite OK
2026/03/31 11:18:05:163 [CDevice] CAM_SerialWrite OK
2026/03/31 11:18:10:110 [CDevice] CAM_SerialWrite OK
2026/03/31 11:18:10:185 [CDevice] CAM_SerialWrite OK
2026/03/31 11:18:28:678 [CDevice] CAM_SerialWrite OK
2026/03/31 11:18:33:710 [CDevice] CAM_SerialWrite OK
2026/03/31 11:19:01:670 [CDevice] CAM_SerialWrite OK
2026/03/31 11:19:06:696 [CDevice] CAM_SerialWrite OK
2026/03/31 11:19:22:901 [CDevice] CAM_SerialWrite OK
2026/03/31 11:19:27:952 [CDevice] CAM_SerialWrite OK
2026/03/31 11:19:28:663 [CDevice] CAM_SerialWrite OK
2026/03/31 11:19:33:698 [CDevice] CAM_SerialWrite OK
2026/03/31 11:20:35:031 [CDevice] CAM_SerialWrite OK
2026/03/31 11:20:40:051 [CDevice] CAM_SerialWrite OK
2026/03/31 11:21:16:797 [CDevice] CAM_SerialWrite OK
2026/03/31 11:21:21:818 [CDevice] CAM_SerialWrite OK
2026/03/31 11:21:28:646 [CDevice] CAM_SerialWrite OK
2026/03/31 11:21:33:665 [CDevice] CAM_SerialWrite OK
2026/03/31 11:22:25:899 [CDevice] CAM_SerialWrite OK
2026/03/31 11:22:30:919 [CDevice] CAM_SerialWrite OK
2026/03/31 11:22:46:836 [CDevice] CAM_SerialWrite OK
2026/03/31 11:22:51:868 [CDevice] CAM_SerialWrite OK
2026/03/31 11:23:49:798 [CDevice] CAM_SerialWrite OK
2026/03/31 11:23:53:635 [CDevice] CAM_SerialWrite OK
2026/03/31 11:23:54:815 [CDevice] CAM_SerialWrite OK
2026/03/31 11:23:58:669 [CDevice] CAM_SerialWrite OK
2026/03/31 11:24:13:933 [CDevice] CAM_SerialWrite OK
2026/03/31 11:24:16:931 [CDevice] CAM_SerialWrite OK
2026/03/31 11:24:18:994 [CDevice] CAM_SerialWrite OK
2026/03/31 11:24:21:952 [CDevice] CAM_SerialWrite OK
2026/03/31 11:24:35:226 [CDevice] CAM_SerialWrite OK
2026/03/31 11:24:40:237 [CDevice] CAM_SerialWrite OK
2026/03/31 11:25:02:229 [CDevice] CAM_SerialWrite OK
